"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
1	-290.606498	10.777089	29.620222	-0.997019	-0.043619	0.063648	0.063708	-0.000000	0.997969	-0.043531	0.999048	0.002779
2	-290.706203	10.772849	29.626630	-0.997055	-0.042869	0.063596	0.063655	0.000001	0.997972	-0.042782	0.999081	0.002728
3	-290.805907	10.768609	29.633038	-0.997113	-0.041852	0.063361	0.063417	-0.000003	0.997987	-0.041768	0.999124	0.002657
4	-290.905617	10.764431	29.639397	-0.997201	-0.041030	0.062505	0.062559	-0.000026	0.998041	-0.040948	0.999158	0.002593
5	-291.005338	10.760376	29.645664	-0.997317	-0.040338	0.061088	0.061140	-0.000067	0.998129	-0.040258	0.999186	0.002533
6	-291.105074	10.756383	29.651737	-0.997457	-0.039724	0.059180	0.059232	-0.000121	0.998244	-0.039647	0.999211	0.002474
7	-291.204826	10.752444	29.657572	-0.997619	-0.039187	0.056748	0.056799	-0.000191	0.998386	-0.039113	0.999232	0.002416
8	-291.304594	10.748558	29.663164	-0.997798	-0.038724	0.053850	0.053901	-0.000272	0.998546	-0.038653	0.999250	0.002359
9	-291.404381	10.744710	29.668411	-0.997982	-0.038318	0.050626	0.050677	-0.000360	0.998715	-0.038251	0.999266	0.002301
10	-291.504187	10.740903	29.673340	-0.998171	-0.037973	0.047048	0.047099	-0.000455	0.998890	-0.037910	0.999279	0.002243
11	-291.604012	10.737126	29.677884	-0.998357	-0.037676	0.043177	0.043229	-0.000555	0.999065	-0.037617	0.999290	0.002183
12	-291.703856	10.733375	29.682016	-0.998537	-0.037420	0.039032	0.039084	-0.000660	0.999236	-0.037366	0.999299	0.002121
13	-291.803718	10.729649	29.685734	-0.998708	-0.037207	0.034620	0.034673	-0.000769	0.999398	-0.037158	0.999307	0.002058
14	-291.903596	10.725940	29.688978	-0.998864	-0.037027	0.030005	0.030059	-0.000879	0.999548	-0.036984	0.999314	0.001991
15	-292.003489	10.722249	29.691764	-0.999003	-0.036883	0.025171	0.025225	-0.000993	0.999681	-0.036846	0.999319	0.001922
16	-292.103395	10.718570	29.694051	-0.999121	-0.036767	0.020157	0.020211	-0.001107	0.999795	-0.036738	0.999323	0.001849
17	-292.203312	10.714900	29.695823	-0.999215	-0.036679	0.014986	0.015041	-0.001222	0.999886	-0.036657	0.999326	0.001773
18	-292.303238	10.711239	29.697078	-0.999283	-0.036618	0.009651	0.009706	-0.001338	0.999952	-0.036603	0.999328	0.001693
19	-292.403167	10.707581	29.697779	-0.999322	-0.036577	0.004185	0.004241	-0.001454	0.999990	-0.036571	0.999330	0.001608
20	-292.503101	10.703927	29.697936	-0.999330	-0.036560	-0.001420	-0.001364	-0.001570	0.999998	-0.036562	0.999330	0.001519
21	-292.603033	10.700273	29.697521	-0.999306	-0.036561	-0.007144	-0.007087	-0.001686	0.999973	-0.036572	0.999330	0.001425
22	-292.702960	10.696618	29.696524	-0.999247	-0.036579	-0.012976	-0.012918	-0.001801	0.999915	-0.036599	0.999329	0.001327
