"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
1	-290.606498	10.777089	29.620222	-0.997019	-0.043619	0.063648	0.063708	-0.000000	0.997969	-0.043531	0.999048	0.002779
2	-291.105074	10.756383	29.651737	-0.997457	-0.039724	0.059180	0.059232	-0.000121	0.998244	-0.039647	0.999211	0.002474
3	-291.604012	10.737126	29.677884	-0.998357	-0.037676	0.043177	0.043229	-0.000555	0.999065	-0.037617	0.999290	0.002183
4	-292.103395	10.718570	29.694051	-0.999121	-0.036767	0.020157	0.020211	-0.001107	0.999795	-0.036738	0.999323	0.001849
5	-292.603033	10.700273	29.697521	-0.999306	-0.036561	-0.007144	-0.007087	-0.001686	0.999973	-0.036572	0.999330	0.001425
6	-293.102558	10.681955	29.686562	-0.998627	-0.036808	-0.037261	-0.037203	-0.002253	0.999305	-0.036866	0.999320	0.000881
7	-293.601487	10.663429	29.660012	-0.996893	-0.037362	-0.069340	-0.069284	-0.002794	0.997593	-0.037466	0.999298	0.000196
8	-294.099258	10.644569	29.617059	-0.993974	-0.038126	-0.102770	-0.102719	-0.003298	0.994705	-0.038263	0.999268	-0.000638
9	-294.595254	10.625287	29.557128	-0.989779	-0.039035	-0.137166	-0.137124	-0.003764	0.990547	-0.039182	0.999231	-0.001627
10	-295.088817	10.605524	29.479806	-0.984234	-0.040044	-0.172280	-0.172252	-0.004193	0.985044	-0.040168	0.999189	-0.002771
11	-295.579260	10.585237	29.384798	-0.977290	-0.041120	-0.207879	-0.207868	-0.004583	0.978146	-0.041174	0.999144	-0.004069
12	-296.065873	10.564400	29.271903	-0.968904	-0.042238	-0.243804	-0.243816	-0.004937	0.969809	-0.042167	0.999095	-0.005515
13	-296.547926	10.542999	29.140990	-0.959041	-0.043378	-0.279925	-0.279966	-0.005256	0.959996	-0.043114	0.999045	-0.007104
14	-297.024671	10.521024	28.991990	-0.947669	-0.044525	-0.316136	-0.316210	-0.005542	0.948673	-0.043992	0.998993	-0.008827
15	-297.495349	10.498477	28.824888	-0.934772	-0.045666	-0.352302	-0.352416	-0.005796	0.935825	-0.044777	0.998940	-0.010675
16	-297.959186	10.475363	28.639713	-0.920296	-0.046791	-0.388415	-0.388574	-0.006024	0.921398	-0.045453	0.998887	-0.012638
17	-298.415396	10.451693	28.436538	-0.904256	-0.047889	-0.424297	-0.424506	-0.006223	0.905404	-0.045999	0.998833	-0.014702
18	-298.863184	10.427482	28.215479	-0.886612	-0.048953	-0.459916	-0.460180	-0.006397	0.887803	-0.046403	0.998781	-0.016856
19	-299.301744	10.402748	27.976692	-0.867333	-0.049976	-0.495213	-0.495538	-0.006549	0.868562	-0.046651	0.998729	-0.019085
20	-299.730262	10.377515	27.720369	-0.846450	-0.050950	-0.530025	-0.530414	-0.006675	0.847712	-0.046729	0.998679	-0.021374
21	-300.147918	10.351808	27.446749	-0.823886	-0.051871	-0.564377	-0.564834	-0.006784	0.825177	-0.046631	0.998631	-0.023709
22	-300.553883	10.325656	27.156108	-0.799663	-0.052730	-0.598130	-0.598658	-0.006873	0.800975	-0.046346	0.998585	-0.026071
23	-300.947326	10.299090	26.848764	-0.773801	-0.053522	-0.631164	-0.631767	-0.006939	0.775128	-0.045866	0.998543	-0.028444
24	-301.327414	10.272146	26.525082	-0.746268	-0.054242	-0.663432	-0.664110	-0.006987	0.747602	-0.045187	0.998503	-0.030809
25	-301.693313	10.244861	26.185473	-0.717035	-0.054886	-0.694873	-0.695628	-0.007018	0.718368	-0.044305	0.998468	-0.033148
26	-302.044193	10.217275	25.830391	-0.686164	-0.055445	-0.725331	-0.726163	-0.007028	0.687487	-0.043215	0.998437	-0.035440
27	-302.379229	10.189432	25.460342	-0.653668	-0.055917	-0.754713	-0.755619	-0.007015	0.654973	-0.041918	0.998411	-0.037666
28	-302.697606	10.161375	25.075884	-0.619557	-0.056295	-0.782930	-0.783910	-0.006980	0.620835	-0.040415	0.998390	-0.039805
29	-302.998524	10.133154	24.677625	-0.583840	-0.056575	-0.809895	-0.810945	-0.006923	0.585081	-0.038707	0.998374	-0.041837
