"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
1	-290.606498	10.777089	29.620222	-0.997019	-0.043619	0.063648	0.063708	-0.000000	0.997969	-0.043531	0.999048	0.002779
2	-292.603033	10.700273	29.697521	-0.999306	-0.036561	-0.007144	-0.007087	-0.001686	0.999973	-0.036572	0.999330	0.001425
3	-294.595254	10.625287	29.557128	-0.989779	-0.039035	-0.137166	-0.137124	-0.003764	0.990547	-0.039182	0.999231	-0.001627
4	-296.547926	10.542999	29.140990	-0.959041	-0.043378	-0.279925	-0.279966	-0.005256	0.959996	-0.043114	0.999045	-0.007104
5	-298.415396	10.451693	28.436538	-0.904256	-0.047889	-0.424297	-0.424506	-0.006223	0.905404	-0.045999	0.998833	-0.014702
6	-300.147918	10.351808	27.446749	-0.823886	-0.051871	-0.564377	-0.564834	-0.006784	0.825177	-0.046631	0.998631	-0.023709
7	-301.693313	10.244861	26.185473	-0.717035	-0.054886	-0.694873	-0.695628	-0.007018	0.718368	-0.044305	0.998468	-0.033148
8	-302.998524	10.133154	24.677625	-0.583840	-0.056575	-0.809895	-0.810945	-0.006923	0.585081	-0.038707	0.998374	-0.041837
9	-304.012322	10.019656	22.960611	-0.426129	-0.056628	-0.902888	-0.904166	-0.006388	0.427133	-0.029955	0.998375	-0.048479
10	-304.689594	9.907893	21.085280	-0.248281	-0.054812	-0.967136	-0.968509	-0.005170	0.248927	-0.018644	0.998483	-0.051802
11	-304.996794	9.801722	19.115029	-0.057485	-0.051034	-0.997041	-0.998329	-0.002916	0.057708	-0.005853	0.998693	-0.050781
12	-304.917234	9.700781	17.122328	0.136591	-0.052621	-0.989229	-0.990599	0.000359	-0.136799	0.007553	0.998615	-0.052077
13	-304.455670	9.590434	15.182611	0.323042	-0.057374	-0.944644	-0.946138	0.003224	-0.323749	0.021620	0.998348	-0.053242
14	-303.634678	9.472709	13.365965	0.495076	-0.059994	-0.866776	-0.868164	0.005453	-0.496247	0.034498	0.998184	-0.049385
15	-302.488356	9.351882	11.735094	0.647627	-0.060481	-0.759554	-0.760655	0.006946	-0.649119	0.044535	0.998145	-0.041507
16	-301.059843	9.232172	10.344552	0.776670	-0.058888	-0.627149	-0.627874	0.007560	-0.778278	0.050572	0.998236	-0.031102
17	-299.399561	9.117664	9.240463	0.878889	-0.055296	-0.473811	-0.474177	0.007123	-0.880401	0.052057	0.998445	-0.019960
18	-297.564099	9.012254	8.460356	0.951399	-0.049808	-0.303908	-0.304022	0.005441	-0.952649	0.049103	0.998744	-0.009966
19	-295.615517	8.919609	8.032741	0.991600	-0.042555	-0.122137	-0.122150	0.002319	-0.992509	0.042519	0.999091	-0.002898
20	-293.620289	8.841961	7.952894	0.999316	-0.036979	-0.000242	-0.000245	-0.000084	-1.000000	0.036979	0.999316	-0.000093
21	-291.621657	8.768004	7.952410	0.999316	-0.036979	-0.000242	-0.000242	0.000001	-1.000000	0.036979	0.999316	-0.000008
22	-289.623025	8.694047	7.951925	0.999316	-0.036979	-0.000242	-0.000242	0.000005	-1.000000	0.036979	0.999316	-0.000004
23	-287.624393	8.620089	7.951441	0.999316	-0.036979	-0.000242	-0.000242	0.000011	-1.000000	0.036979	0.999316	0.000002
24	-285.625761	8.546132	7.950956	0.999316	-0.036979	-0.000242	-0.000242	0.000017	-1.000000	0.036979	0.999316	0.000008
25	-283.627129	8.472174	7.950472	0.999316	-0.036979	-0.000242	-0.000242	0.000021	-1.000000	0.036979	0.999316	0.000012
26	-281.628497	8.398217	7.949988	0.999316	-0.036979	-0.000242	-0.000242	0.000022	-1.000000	0.036979	0.999316	0.000013
27	-279.629865	8.324260	7.949503	0.999316	-0.036979	-0.000242	-0.000242	0.000018	-1.000000	0.036979	0.999316	0.000009
28	-277.631233	8.250302	7.949019	0.999316	-0.036979	-0.000242	-0.000242	0.000007	-1.000000	0.036979	0.999316	-0.000002
29	-275.632601	8.176345	7.948534	0.999316	-0.036979	-0.000242	-0.000243	-0.000012	-1.000000	0.036979	0.999316	-0.000021
30	-273.633969	8.102387	7.948050	0.999315	-0.037011	-0.000238	-0.000240	-0.000040	-1.000000	0.037011	0.999315	-0.000049
31	-271.635008	8.038465	7.946244	0.999702	-0.024317	-0.001909	-0.001910	-0.000025	-0.999998	0.024316	0.999704	-0.000071
32	-269.635269	8.009087	7.939894	0.999982	-0.003820	-0.004604	-0.004605	-0.000031	-0.999989	0.003820	0.999993	-0.000048
33	-267.635300	8.011229	7.929400	0.999984	0.001687	-0.005328	-0.005328	-0.000081	-0.999986	-0.001688	0.999999	-0.000072
34	-265.635331	8.014604	7.918743	0.999984	0.001687	-0.005328	-0.005328	-0.000138	-0.999986	-0.001688	0.999999	-0.000129
35	-263.635362	8.017979	7.908086	0.999984	0.001687	-0.005328	-0.005328	-0.000200	-0.999986	-0.001689	0.999999	-0.000191
36	-261.635393	8.021354	7.897429	0.999984	0.001687	-0.005328	-0.005328	-0.000268	-0.999986	-0.001689	0.999999	-0.000259
